"decimalLongitude","decimalLatitude"
-79.08959,42.842022
-92.06813,46.74705
-83.33859,42.013916
-71.56769,41.209656
-77.10068,42.887535
-66.67654,18.45379
-86.891846,36.116974
-71.39911,42.35224
-86.06026,39.984516
-106.53378,35.157406
-66.47164,18.452875
-97.69022,30.46586
-97.487472,35.233547
-72.6186,41.696243
-101.34201,38.467354
-69.331314,44.6011
-87.81784,42.092747
-83.30821,42.467793
-77.96614,42.976746
-77.30283,38.93216
-73.77813,41.051685
-85.60828,42.953873
-118.28845,34.01773
-87.67368,42.04984
-86.829445,40.514202
-99.01896,26.405201
-100.49132,31.429464
-79.76616,36.49165
-96.80116,28.3108
-86.7817,35.71409
-75.63597,45.396915
-80.815285,43.236073
-121.03762,38.148567
-76.87582,39.012432
-94.67866,38.849632
-75.859375,45.274708
-111.00717,31.811535
-90.28538,38.63891
-96.41897,33.02143
-74.124886,41.40804
-73.2383,44.019577
-74.10455,41.50424
-111.72576,40.02985
-83.76401,42.290466
-94.87329,38.877018
-73.626015,45.679863
-122.0975,37.43902
-97.34367,49.26646
-93.81569,46.289783
-91.16745,30.441523
-97.95782,26.126833
-85.851265,41.329964
-74.44778,39.465
-73.38432,45.392365
-88.03582,42.92529
-75.54069,39.785416
-121.355064,38.555775
-72.5497,42.34976
-83.02222,40.025284
-72.67905,41.909336
-111.15875,33.279507
-95.41973,29.057451
-75.01549,40.15836
-72.086365,41.341827
-95.26454,29.54457
-80.99084,37.663746
-72.55753,42.8432
-84.38282,33.631718
-73.9787,40.87785
-80.85457,43.40966
-75.686554,45.386387
-77.0576,38.839836
-81.28716,41.731136
-84.075264,9.951093
-121.856865,36.603413
-72.70788,45.410557
-112.19577,33.661083
-88.78258,43.86065
-73.80808,40.746243
-71.21667,46.81667
-111.81589,41.706856
-84.56712,40.85802
-114.07254,51.01231
-80.20322,43.516006
-96.786644,46.776043
-82.03158,41.340054
-102.06992,30.855984
-91.72248,42.04128
-87.8694,43.071045
-76.86793,39.203278
-83.36004,40.26019
-86.025345,39.94887
-112.7811,33.30987
-84.37749,33.78364
